coach,school,stadium_cap,wins,losses,ties,total_games,bowl_game_wins,bowl_game_losses,total_bowl_games
TROY CALHOUN,AIR FORCE,46692,101,72,0,173,5,5,10
TERRY BOWDEN,AKRON,30000,82,69,1,152,3,2,5
NICK SABAN,ALABAMA,101821,261,65,1,327,17,10,27
BILL CLARK,ALABAMA AT BIRMINGHAM,71594,40,22,0,62,1,2,3
SCOTT SATTERFIELD,APPALACHIAN STATE,30000,59,28,0,87,4,0,4
KEVIN SUMLIN,ARIZONA,57400,95,63,0,158,4,3,7
HERM EDWARDS,ARIZONA STATE,53599,17,13,0,30,1,1,2
CHAD MORRIS,ARKANSAS,76000,18,41,0,59,0,1,1
BLAKE ANDERSON,ARKANSAS STATE,30964,51,37,0,88,2,4,6
JEFF MONKEN,ARMY,38000,49,39,0,88,3,1,4
GUS MALZAHN,AUBURN,87451,77,38,0,115,2,5,7
MIKE NEU,BALL STATE,16319,22,34,0,56,1,0,1
BRYAN HARSIN,BOISE STATE,36387,76,24,0,100,4,2,6
STEVE ADDAZIO,BOSTON COLLEGE,44500,58,58,0,116,2,3,5
MIKE JINKS,BOWLING GREEN,24000,7,24,0,31,0,0,0
LANCE LEIPOLD,BUFFALO,71870,37,33,0,70,2,1,3
JUSTIN WILCOX,CALIFORNIA,63000,21,21,0,42,1,1,2
JOSH HEUPEL,CENTRAL FLORIDA,45301,28,8,0,36,1,2,3
JOHN BONAMEGO,CENTRAL MICHIGAN,45000,22,29,0,51,0,3,3
BRAD LAMBERT,CHARLOTTE,15314,12,36,0,48,0,0,0
LUKE FICKELL,CINCINNATI,40000,41,21,0,62,2,2,4
DABO SWINNEY,CLEMSON,81500,140,33,0,173,10,7,17
JOE MOGLIA,COASTAL CAROLINA,21000,5,7,0,12,0,0,0
MIKE MACINTYRE,COLORADO,53613,46,65,0,111,0,1,1
MIKE BOBO,COLORADO STATE,41000,28,38,0,66,0,3,3
RANDY EDSALL,CONNECTICUT,40642,98,127,0,225,3,4,7
DAVID CUTCLIFFE,DUKE,40004,118,117,0,235,7,4,11
SCOTTIE MONTGOMERY,EAST CAROLINA,50000,9,26,0,35,0,0,0
CHRIS CREIGHTON,EASTERN MICHIGAN,30200,30,51,0,81,0,3,3
DAN MULLEN,FLORIDA,88548,98,55,0,153,7,3,10
LANE KIFFIN,FLORIDA ATLANTIC,30000,67,39,0,106,3,2,5
BUTCH DAVIS,FLORIDA INTERNATIONAL,23500,102,64,0,166,6,4,10
WILLIE TAGGART,FLORIDA STATE,79560,61,66,0,127,0,2,2
JEFF TEDFORD,FRESNO STATE,40727,108,71,0,179,7,3,10
KIRBY SMART,GEORGIA,92746,52,14,0,66,4,2,6
CHAD LUNSFORD,GEORGIA SOUTHERN,25000,27,18,0,45,2,1,3
SHAWN ELLIOTT,GEORGIA STATE,24333,23,30,0,53,2,1,3
PAUL JOHNSON,GEORGIA TECH,55000,128,89,0,217,5,8,13
NICK ROLOVICH,HAWAII,50000,29,30,0,59,2,1,3
MAJOR APPLEWHITE,HOUSTON,60000,15,11,0,26,0,3,3
LOVIE SMITH,ILLINOIS,60670,17,39,0,56,0,1,1
TOM ALLEN,INDIANA,52929,24,22,0,46,0,3,3
KIRK FERENTZ,IOWA,69250,168,106,0,274,9,8,17
MATT CAMPBELL,IOWA STATE,61500,70,43,0,113,4,3,7
DAVID BEATY,KANSAS,47000,6,42,0,48,0,0,0
BILL SNYDER,KANSAS STATE,50000,215,117,1,333,9,10,19
SEAN LEWIS,KENT STATE,25319,12,17,0,29,1,0,1
MARK STOOPS,KENTUCKY,61000,49,50,0,99,3,2,5
TURNER GILL,LIBERTY,25000,31,55,0,86,0,1,1
SKIP HOLTZ,LOUISIANA TECH,28562,115,89,0,204,8,4,12
BILLY NAPIER,LOUISIANA-LAFAYETTE,36900,28,11,0,39,2,1,3
MATT VIATOR,LOUISIANA-MONROE,27617,19,39,0,58,0,0,0
BOBBY PETRINO,LOUISVILLE,65000,119,56,0,175,5,6,11
ED ORGERON,LSU,102321,61,41,0,102,5,1,6
DOC HOLLIDAY,MARSHALL,38227,85,54,0,139,6,2,8
DJ DURKIN,MARYLAND,51802,11,15,0,26,1,1,2
MARK WHIPPLE,MASSACHUSETTS,17000,16,44,0,60,0,0,0
MIKE NORVELL,MEMPHIS,58325,41,22,0,63,0,4,4
MARK RICHT,MIAMI (FLA.),64767,171,64,0,235,10,7,17
CHUCK MARTIN,MIAMI (OHIO),24286,32,46,0,78,0,2,2
JIM HARBAUGH,MICHIGAN,107601,78,43,0,121,2,5,7
MARK DANTONIO,MICHIGAN STATE,75005,132,74,0,206,7,6,13
RICK STOCKSTILL,MIDDLE TENNESSEE,30788,94,92,0,186,2,6,8
P.J. FLECK,MINNESOTA,7000,56,41,0,97,3,2,5
MATT LUKE,MISSISSIPPI,64038,15,21,0,36,0,0,0
JOE MOORHEAD,MISSISSIPPI STATE,61337,14,12,0,26,0,2,2
BARRY ODOM,MISSOURI,62621,25,25,0,50,0,2,2
KEN NIUMATALOLO,NAVY,34000,101,67,0,168,6,5,11
SCOTT FROST,NEBRASKA,90000,31,27,0,58,1,1,2
JAY NORVELL,NEVADA,30000,25,22,0,47,2,1,3
TONY SANCHEZ,NEVADA-LAS VEGAS,36800,20,40,0,60,0,0,0
BOB DAVIE,NEW MEXICO,39224,70,89,0,159,1,4,5
DOUG MARTIN,NEW MEXICO STATE,30343,52,117,0,169,1,0,1
LARRY FEDORA,NORTH CAROLINA,51000,79,62,0,141,3,5,8
DAVE DOEREN,NORTH CAROLINA STATE,57583,78,50,0,128,4,3,7
SETH LITTRELL,NORTH TEXAS,30850,31,31,0,62,0,4,4
ROD CAREY,NORTHERN ILLINOIS,10000,61,41,0,102,0,7,7
PAT FITZGERALD,NORTHWESTERN,47130,106,81,0,187,5,5,10
BRIAN KELLY,NOTRE DAME,77622,155,61,0,216,7,6,13
FRANK SOLICH,OHIO,24000,173,101,0,274,7,9,16
URBAN MEYER,OHIO STATE,104944,187,33,0,220,12,3,15
LINCOLN RILEY,OKLAHOMA,86112,45,8,0,53,1,3,4
MIKE GUNDY,OKLAHOMA STATE,60000,137,67,0,204,10,5,15
BOBBY WILDER,OLD DOMINION,19818,31,42,0,73,1,0,1
MARIO CRISTOBAL,OREGON,54000,52,57,0,109,3,3,6
JONATHAN SMITH,OREGON STATE,45674,9,22,0,31,0,0,0
JAMES FRANKLIN,PENN STATE,106572,84,43,0,127,5,4,9
PAT NARDUZZI,PITTSBURGH,68400,42,34,0,76,1,3,4
JEFF BROHM,PURDUE,57236,49,35,0,84,4,1,5
CHRIS ASH,RUTGERS,52454,8,32,0,40,0,0,0
ROCKY LONG,SAN DIEGO STATE,27000,146,107,0,253,5,9,14
BRENT BRENNAN,SAN JOSE STATE,30456,15,30,0,45,0,1,1
STEVE CAMPBELL,SOUTH ALABAMA,25450,9,26,0,35,0,0,0
WILL MUSCHAMP,SOUTH CAROLINA,80250,56,51,0,107,3,3,6
CHARLIE STRONG,SOUTH FLORIDA,65890,74,53,0,127,4,4,8
CLAY HELTON,SOUTHERN CALIFORNIA,78467,45,23,0,68,2,3,5
JAY HOPSON,SOUTHERN MISSISSIPPI,36000,28,23,0,51,1,2,3
DAVID SHAW,STANFORD,50000,90,36,0,126,5,3,8
DINO BABERS,SYRACUSE,49250,42,45,0,87,2,0,2
JEREMY PRUITT,TENNESSEE,102455,16,19,0,35,1,0,1
TOM HERMAN,TEXAS,95594,54,22,0,76,5,1,6
JIMBO FISHER,TEXAS A&M,102733,109,33,0,142,8,2,10
GARY PATTERSON,TEXAS CHRISTIAN,50000,178,74,0,252,11,6,17
EVERETT WITHERS,TEXAS STATE,30008,14,34,0,48,0,1,1
KLIFF KINGSBURY,TEXAS TECH,60454,35,40,0,75,1,2,3
DANA DIMEL,TEXAS-EL PASO,51500,35,66,0,101,0,0,0
FRANK WILSON,TEXAS-SAN ANTONIO,72000,19,29,0,48,0,1,1
JASON CANDLE,TOLEDO,26248,38,21,0,59,1,3,4
NEAL BROWN,TROY,30420,46,27,0,73,4,0,4
WILLIE FRITZ,TULANE,30000,47,40,0,87,3,1,4
PHILIP MONTGOMERY,TULSA,30000,31,40,0,71,1,2,3
CHIP KELLY,UCLA,90888,56,28,0,84,2,2,4
KYLE WHITTINGHAM,UTAH,45807,134,66,0,200,11,3,14
MATT WELLS,UTAH STATE,25513,52,48,0,100,2,2,4
DEREK MASON,VANDERBILT,39790,27,55,0,82,0,2,2
BRONCO MENDENHALL,VIRGINIA,61500,129,75,0,204,7,7,14
JUSTIN FUENTE,VIRGINIA TECH,66233,64,49,0,113,2,3,5
DAVE CLAWSON,WAKE FOREST,31500,72,77,0,149,3,5,8
CHRIS PETERSEN,WASHINGTON,70083,147,30,0,177,7,6,13
MIKE LEACH,WASHINGTON STATE,32952,143,97,0,240,8,8,16
DANA HOLGORSEN,WEST VIRGINIA,60000,68,54,0,122,2,6,8
MIKE SANFORD JR.,WESTERN KENTUCKY,22113,9,16,0,25,0,1,1
TIM LESTER,WESTERN MICHIGAN,30200,24,20,0,44,0,2,2
PAUL CHRYST,WISCONSIN,80321,75,38,0,113,6,2,8
CRAIG BOHL,WYOMING,29181,38,44,0,82,2,1, 
